iter	Passed	Remaining
176	358	1664
177	358	1656
178	359	1649
179	360	1641
180	361	1634
181	361	1626
182	362	1618
183	363	1611
184	364	1604
185	364	1597
186	365	1589
187	366	1583
188	367	1578
189	369	1573
190	369	1567
191	370	1560
192	371	1553
193	372	1546
194	372	1539
195	373	1533
196	374	1526
197	375	1520
198	376	1513
199	376	1507
200	377	1501
201	378	1494
202	379	1488
203	380	1483
204	381	1478
205	382	1475
206	384	1472
207	385	1466
208	386	1461
209	387	1456
210	388	1450
211	388	1445
212	389	1439
213	390	1433
214	391	1427
215	391	1422
216	392	1416
217	393	1410
218	394	1405
219	394	1399
220	395	1394
221	396	1389
222	397	1384
223	398	1382
224	399	1376
225	400	1371
226	401	1366
227	401	1361
228	402	1355
229	403	1351
230	404	1346
231	405	1341
232	405	1336
233	406	1331
234	407	1326
235	408	1321
236	409	1316
237	409	1311
238	410	1307
239	411	1302
240	412	1298
241	413	1296
242	414	1292
243	415	1287
244	416	1283
245	417	1278
246	417	1273
247	418	1269
248	419	1264
249	420	1260
250	420	1256
251	421	1251
252	422	1247
253	423	1242
254	423	1238
255	424	1234
256	425	1230
257	426	1226
258	427	1222
259	428	1219
260	429	1216
261	430	1212
262	431	1208
263	432	1204
264	432	1200
265	433	1196
266	434	1192
267	435	1188
268	435	1184
269	436	1180
270	437	1176
271	438	1172
272	438	1169
273	439	1165
274	440	1161
275	441	1157
276	442	1154
277	443	1151
278	444	1148
279	445	1144
280	446	1141
281	446	1137
282	447	1133
283	448	1130
284	448	1126
285	449	1122
286	450	1119
287	451	1115
288	452	1112
289	452	1108
290	453	1105
291	454	1102
292	455	1098
293	456	1095
294	456	1092
295	458	1089
296	459	1087
297	460	1083
298	460	1080
299	461	1077
300	462	1073
301	463	1070
302	464	1067
303	464	1064
304	465	1060
305	466	1057
306	467	1054
307	467	1051
308	468	1048
309	469	1045
310	470	1042
311	471	1039
312	472	1036
313	473	1034
314	474	1032
315	475	1029
316	476	1026
317	477	1023
318	478	1020
319	478	1017
320	479	1014
321	480	1011
322	481	1008
323	481	1005
324	482	1002
325	483	999
326	484	997
327	485	994
328	486	992
329	487	989
330	488	987
331	489	984
332	490	982
333	491	979
334	492	976
335	493	974
336	494	971
337	494	969
338	495	967
339	496	964
340	497	961
341	498	959
342	499	956
343	500	954
344	501	952
345	503	951
346	505	950
347	505	947
348	506	945
349	507	942
350	508	939
351	508	936
352	509	934
353	510	931
354	511	928
355	511	926
356	512	923
357	513	920
358	514	918
359	514	915
360	515	912
361	516	910
362	517	907
363	518	906
364	520	904
365	520	902
366	521	899
367	522	897
368	523	894
369	524	892
370	524	889
371	525	887
372	526	884
373	527	882
374	528	880
375	528	877
376	529	875
377	530	872
378	531	870
379	531	867
380	532	865
381	534	864
382	535	862
383	536	859
384	536	857
385	537	855
386	538	853
387	539	850
388	540	848
389	540	845
390	541	843
391	542	841
392	543	838
393	544	836
394	544	834
395	545	832
396	546	829
397	546	827
398	547	825
399	549	824
400	550	821
401	551	819
402	551	817
403	552	815
404	553	812
405	554	810
406	554	808
407	555	806
408	556	803
409	557	801
410	557	799
411	558	797
412	559	795
413	560	792
414	561	790
415	561	788
416	562	786
417	564	785
418	565	783
419	565	781
420	566	779
421	567	777
422	568	775
423	569	773
424	569	770
425	570	768
426	571	766
427	572	764
428	572	762
429	573	760
430	574	758
431	575	756
432	575	754
433	576	752
434	577	750
435	578	748
436	580	747
437	580	745
438	581	743
439	582	741
440	583	739
441	583	737
442	584	735
443	585	733
444	586	731
445	586	729
446	587	727
447	588	725
448	589	723
449	590	721
450	591	719
451	591	717
452	592	715
453	594	714
454	595	712
455	595	710
456	596	709
457	597	707
458	598	705
459	599	703
460	599	701
461	600	699
462	601	697
463	602	695
464	602	693
465	603	691
466	604	689
467	605	688
468	606	686
469	606	684
470	607	682
471	608	681
472	610	679
473	610	677
474	611	676
475	612	674
476	613	672
